SP 1000 ,Valid Until ,01.07.2019 ,,
,,,,
DIVISION,ITEM CODE,SUPPLIER,ITEM DESCRIPTION,PRICE
,38-159,S/Hayat Hygienic,Evony Adult Diaper Medium 10x6,173.31
,38-160,S/Hayat Hygienic,Evony Adult Diaper Large 8x6,137.82
,38-161,S/Hayat Hygienic,Evony Adult Diaper Large 30x4,346.63
,38-162,S/Hayat Hygienic,Evony Adult Diaper X-Large 30x4,346.63
,38-174,S/Hayat Hygienic,Molfix Mini 10X10 Small,83.7
,38-175,S/Hayat Hygienic,Molfix Midi 9X10 Small,83.7
,38-176,S/Hayat Hygienic,Molfix Maxi 8X10 Small,83.7
,38-182,S/Hayat Hygienic,Molfix C.Fix E.Large 36X3 Jumbo,183.77
,38-183,S/Hayat Hygienic,Molfix C.Fix Mini 100X2 Giant,150.97
,38-184,S/Hayat Hygienic,Molfix 7/24 Midi 90X2 Giant,150.97
,38-185,S/Hayat Hygienic,Molfix 7/24 Maxi  80X2 Giant,150.97
,38-186,S/Hayat Hygienic,Molfix 7/24 M.Plus 70X2 Giant,150.97
,38-187,S/Hayat Hygienic,Molfix 7/24 Junior 58/2 Giant,150.97
,38-194,S/Hayat Hygienic,Bebem Maxi 60x3 Jumbo,163.7
,38-205,S/Hayat Hygienic,Molped DC NRM 20X24 2012 COMMON,196.14
,38-206,S/Hayat Hygienic,Molped DC LARGE 16X24 2012 COMMON,196.14
,38-207,S/Hayat Hygienic,Molfix C.FIX Junior  58X2 GIGA ECO EXP 6,164.12
,38-261,S/Hayat Hygienic,Familia Towel 1*6,81.07
,38-293,S/Hayat Hygienic,Molfix Mini Small 10*15,76.59
,38-294,S/Hayat Hygienic,Molfix Midi Small 10*12,76.59
,38-295,S/Hayat Hygienic, Molfix Max 10*10,76.59
,38-296,S/Hayat Hygienic,molfix small 7*10,76.59
,38-308,S/Hayat Hygienic,MLF baby LSY wet towel 12*60,96.37
,38-309,S/Hayat Hygienic,mlf baby wt advt cover wet towel 60*3*6,152.34
,38-343,S/Hayat Hygienic,Molfix Baby Wips 60*12,97.2
WRIGLEYS/ MARS,21-312,S/Wrigley's,juicy fruit 30*50*1 chunk,345
,80-118,S/Wrigley's,PK Menthol Pack  50,30
,18-275,S/Mars,M&M Peanuts24*1*45,162
,18-276,S/Mars,M&M Chocolate 24*1*45,162
,18-277,S/Mars,Maltesers 25*1*37 Gr,223
,30-149,S/Mars,Ped puppy 7 kg,174
,30-191,S/Mars,M&M peanuts 16*1*100 grs,233
,30-192,S/Mars,M&M chocolate 16*1*100 grs,233
,30-193,S/Mars,M&M peanuts 12*1*200 grs,326
,30-194,S/Mars,M&M chocolate 1*12*200 grs,326
,30-196,S/Mars,Snickers Hazelnut 32*49 grs,153
,30-213,S/Mars,malteserrs box 1*7*360 g,234
,80-495,S/Mars,BOUNTY DARK 24*57 G,134
,80-496,S/Mars,BOUNTY TRIO 21*85G,134
,81-601,S/Mars,Mars 24*51 Single Pack,133
,81-602,S/Mars,Snickers 24*50 Pack,133
,81-603,S/Mars,Twix 25*50 Gr Twin Pack,139
,81-604,S/Mars,Snickers 24*80 Gr Pack,169
,81-605,S/Mars,Bounty 24*57 Pack,133
,18-460,S/Mars Pet Food,Pedigree Adult Beef 1*8Kg,147
,18-461,S/Mars Pet Food,Pedigree Adult Chicken 1*8Kg,147
,18-463,S/Mars Pet Food,Pedigree Large Dog Beef Rice 1*8 Kg,147
,18-464,S/Mars Pet Food,Pedigree Adult Beef 1*15Kg,258
,18-465,S/Mars Pet Food,Pedigree Adult Chicken 1*15Kg,258
CONFICTIONARY,24-601,S/Merba,Merba AM Choclate 200*16,165
,24-604,S/Merba,Merba Apple Pie 200/20,165
,24-605,S/Merba,Merba Brownie 200*20,165
,24-606,S/Merba,Merba Rainbow 22*150,180
,24-610,S/Merba,Merba AM ChocCookies22*150,180
,19-260,S/Soneri,bombo lollypop c/f bubble gum 16*48*18g,159.075
,19-261,S/Soneri,yogee lollypop 16*48*18 g,159.075
,19-263,S/Soneri,centro candy 60*50*4 g,138.6
,19-264,S/Soneri,Jam Gum TF20*30*14.4g,238.875
,19-265,S/Soneri,Jam Gum Mint 20*30*14.4 g,238.875
,19-266,S/Soneri,Center Filled Bubble Gum 12 jars*150*4.5,131.25
,19-267,S/Soneri,center filled bubble gum 12 jugs*125*4.5,126
,19-271,S/Soneri,Jolly Boy Choc 12*50*10.5 Lollypop,122.85
,19-272,S/Soneri,Jolly Boy Orange 12*50*10.5 Lollypop,122.85
,19-273,S/Soneri,Jolly Boy Strawberry 12*50*10.5 Lollypop,122.85
,19-274,S/Soneri,Jolly Boy Pineapple 12*50*10.5 Lollypop,122.85
,19-275,S/Soneri,Jolly Boy Tuttifruti 12*50*10.5 Lollypop,122.85
,16-860,S/Mass Supplier,Malt &Milk 48*50g,21
,16-863,S/Mass Supplier,Malt&Milk300*13g,26
,16-864,S/Mass Supplier,Bo TeaTime48*50,22
,16-867,S/Mass Supplier,Marie Bonita 24x100,18
,16-870,S/Mass Supplier,Glucose Bonita 300*13 G,26
,16-872,S/Mass Supplier,Milk Biscuit 48x60,22
,16-877,S/Mass Supplier,Bon.PetitBeurre300x12g,29
